idPan;panNome;panNomeCompleto;idPan2;panNomeFantasia;panAbrangenciaTaxonomica;panAbrangenciaGeografica;panCiclo;panStatus;panCentro;panInicioData;panInicioAno;Data da portaria vigente do PAN;"Data do início da vigência do PAN na portaria 
(último artigo da portaria)";panFimData;panFimAno;panStatusLegal;panPortaria;panProcesso;panLogo;panSite
CMA_05.01;Mamíferos Aquáticos Amazônicos;Plano de Ação Nacional para Conservação de Mamíferos Aquáticos Amazônicos Ameaçados de Extinção;CMA_05.01;Mamíferos Aquáticos Amazônicos;Intraclasse;Bioma;1º ciclo;Em execução;CMA;16/01/2019;2019;16/01/2019;16/01/2019;01/01/2024;2024;Portaria com prazo expirado;Portaria 19 (16/01/2019);02034000085/2018-00;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-mamiferos-aquaticos-amazonicos
CMA_06.01;Cetáceos Marinhos;Plano de Ação Nacional para Conservação de Cetáceos Marinhos Ameaçados de Extinção;CMA_06.01;Cetáceos Marinhos;Intraclasse;Bioma;1º ciclo;Em execução;CMA;01/08/2019;2019;01/08/2019;01/08/2019;01/07/2024;2024;Portaria com prazo expirado;Portaria 375 (01/08/2019);02034000088/2018-35;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-cetaceos-marinhos
CMA_07.02;Toninha - 2º ciclo;Plano de Ação Nacional para Conservação da Toninha;CMA_07.02;Toninha;Monoespecífico;Específico (distribuição da espécie);2º ciclo;Em execução;CMA;04/11/2019;2019;04/11/2019;04/11/2019;01/09/2024;2024;Portaria com prazo expirado;Portaria 655 (04/11/2019) ;02034.000033/2019-14;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-toninha
CPB_11.01;Tamanduá-bandeira e Tatus;Plano de Ação Nacional para a Conservação do Tamanduá-bandeira, Tatu-canastra e Tatu-bola;CPB_11.01;Tamanduá-bandeira e Tatus;Intraclasse;Específico (distribuição da espécie);1º ciclo;Em execução;CPB;25/07/2019;2019;27/06/2022;01/07/2022;01/07/2024;2024;Portaria com prazo expirado;Portaria 534 (27/06/2022);02062.000053/2018-69;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cpb_11-01.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-tamandua-bandeira-e-tatu-canastra
RAN_09.02;Herpetofauna do Sul - 2º ciclo;Plano de Ação Nacional para Conservação de Répteis e Anfíbios Ameaçados da Região Sul do Brasil;RAN_09.02;Herpetofauna do Sul;Multiclasse;Bioma;2º ciclo;Em execução;RAN;23/07/2019;2019;23/07/2019;;01/05/2024;2024;Portaria com prazo expirado;Portaria 350 (23/07/2019);02071.000040/2018-81;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/ran_09-02.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-herpetofauna-do-sul
CBC_02.01;Insetos Polinizadores;Plano de Ação Nacional para a Conservação Plano de Ação Nacional para a Conservação dos Insetos Polinizadores Ameaçados de Extinção;CBC_02.01;Insetos Polinizadores;Intraclasse;Nacional;1º ciclo;Em execução;CBC;05/12/2022;2022;05/12/2022;02/01/2022;31/12/2027;2027;Portaria vigente;Portaira 1145 (05/12/2022);02176.000061/2019-17;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-insetos-polinizadores
CECAV_03.01;Cavernas do Brasil;Plano de Ação Nacional para a Conservação do Patrimônio Espeleológico Brasileiro;CECAV_03.01;Cavernas do Brasil;Multiclasse;Ecossistema;1º ciclo;Em execução;CECAV;09/08/2022;2022;09/08/2022;01/09/2022;01/08/2027;2027;Portaria vigente;Portaria 646 (09/08/2022);02667.000076/2019-45;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cecav_03-01.jpg;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-cavernas-do-brasil
CENAP_12.02;Pequenos Felinos - 2º ciclo;Plano de Ação Nacional para a Conservação dos Pequenos Felinos;CENAP_12.02;Pequenos Felinos;Intraclasse;Nacional;2º ciclo;Em execução;CENAP;21/06/2022;2022;21/06/2022;01/07/2022;01/07/2027;2027;Portaria vigente;Portaria 493 (21/06/2022);02068.000061/2019-36;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-pequenos-felinos
CENAP_13.01;Pequenos Mamíferos de Áreas Abertas;Plano de Ação Nacional para a Conservação dos Pequenos Mamíferos de Áreas Abertas;CENAP_13.01;Pequenos Mamíferos de Áreas Abertas;Intraclasse;Nacional;1º ciclo;Em execução;CENAP;05/07/2022;2022;05/07/2022;01/08/2022;01/08/2027;2027;Portaria vigente;Portaria 560 (5/07/2022);02068.000056/2019-23;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-pequenos-mamiferos-areas-abertas
CENAP_14.01;Pequenos Mamíferos de Áreas Florestais;Plano de Ação Nacional para a Conservação dos Pequenos Mamíferos de Áreas Florestais;CENAP_14.01;Pequenos Mamíferos de Áreas Florestais;Intraclasse;Nacional;1º ciclo;Em execução;CENAP;04/07/2022;2022;04/07/2022;01/08/2022;02/08/2027;2027;Portaria vigente;Portaria 561 (4/07/2022);02068.000063/2019-25;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cenap_14-01.png/view;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-pequenos-mamiferos-areas-florestais
