País,Ouro (Verão),Prata (Verão),Bronze (Verão),Total (Verão),Ouro (Inverno),Prata (Inverno),Bronze (Inverno),Total (Inverno),Ouro (Total),Prata (Total),Bronze (Total),Total Geral
Namíbia,0,5,0,5,0,0,0,0,0,5,0,5
Nova Zelândia,63,40,54,157,0,1,2,3,53,34,53,140
Níger,0,1,1,2,0,0,0,0,0,1,1,2
Nigéria,3,11,13,27,0,0,0,0,3,11,13,27
Noruega,64,52,52,168,132,125,111,368,192,176,160,528
Países Baixos,110,111,134,355,45,44,41,130,140,148,163,451
Paquistão,4,3,4,11,0,0,0,0,3,3,4,10
Panamá,1,1,2,4,0,0,0,0,1,0,2,3
Paraguai,0,1,0,1,0,0,0,0,0,1,0,1
Peru,1,3,1,5,0,0,0,0,1,3,0,4
Polônia,73,93,142,308,7,7,8,22,79,96,145,320
Porto Rico,2,2,8,12,0,0,0,0,2,2,6,10
Portugal,6,11,15,32,0,0,0,0,5,9,14,28
Quênia,39,44,41,124,0,0,0,0,35,42,36,113
Quirguistão,0,5,8,13,0,0,0,0,0,3,4,7
Chéquia,22,21,29,72,9,11,11,31,28,32,38,98
República Dominicana,4,5,6,15,0,0,0,0,3,5,4,12
Romênia,93,101,123,317,0,0,1,1,90,97,122,309
Rússia,149,125,152,426,47,39,35,121,196,164,187,547
Império Russo,1,4,3,8,0,0,0,0,1,4,3,8
Atletas Olímpicos da Rússia,0,0,0,0,2,6,9,17,2,6,9,17
ROC,20,28,23,71,5,12,15,32,25,40,38,103
Samoa,0,1,0,1,0,0,0,0,0,1,0,1
San Marino,0,1,2,3,0,0,0,0,0,1,2,3
Santa Lúcia,1,1,0,2,0,0,0,0,1,1,0,2
Senegal,0,1,0,1,0,0,0,0,0,1,0,1
Sérvia,9,8,12,29,0,0,0,0,6,7,11,24
Sérvia e Montenegro,0,2,0,2,0,0,0,0,0,2,0,2
Singapura,1,2,3,6,0,0,0,0,1,2,2,5
Síria,1,1,2,4,0,0,0,0,1,1,2,4
Sri Lanka,0,2,0,2,0,0,0,0,0,2,0,2
Sudão,0,1,0,1,0,0,0,0,0,1,0,1
Suécia,152,180,182,514,57,46,55,158,205,222,234,661
Suíça,54,81,78,213,56,45,52,153,109,124,125,358
Suriname,1,0,1,2,0,0,0,0,1,0,1,2
Tailândia,11,11,19,41,0,0,0,0,10,8,17,35
Tajiquistão,1,1,5,7,0,0,0,0,1,1,2,4
